text,labels,
AP 好 任性,negative,
a 甜心 一手 货源 招 代理  这个 骗子,negative,
っ ╥ ╯ ﹏ ╰ ╥ c 被 土豪 欺负,negative,
Don t care  大爷 此,negative,
ee 好 霸道 欺负 老实人,negative,
E 无语,negative,
fct 很 讨厌,negative,
fly 白痴,negative,
Gay 鉴定 完毕,negative,
gg 管理 随波逐流  波哥 好 ,negative,
gg 无尽 空虚  又 调戏 美 女,negative,
hi 小 傻子,negative,
jtituthbx bc hjjje 呀呀  干 啥 哭 啥 事情,negative,
lol 本身 就是 抄袭,negative,
mc 麻木,negative,
MD 你们 这群 屌丝,negative,
MM 冬夜  已 病入膏肓,negative,
mm 管理 奔驰  切 不 好,negative,
mm 管理 奔驰  装傻,negative,
MM 雪 忽悠 加 骗子,negative,
Moment 花不弃 欺负 毛线,negative,
NND 掩饰 一下,negative,
NONONO 腹黑 才 不是 邪恶 呢,negative,
NO 不好 听,negative,
NO 发错,negative,
OK 啦 粪土,negative,
Q at qq  尽情 调戏 呆呆,negative,
QQ  骗子,negative,
sb,negative,
sb 才 生气,negative,
sb 机器人,negative,
sb 机器人 签到,negative,
sb 来,negative,
sb 嘛,negative,
sb 脑残 手残,negative,
sb 琪琪,negative,
sb 啥,negative,
sb 傻 逼,negative,
sb 什么,negative,
sb 帅 比 简称,negative,
sb 睡觉,negative,
sb 涘,negative,
sb 意思 什么,negative,
sb 悦,negative,
s 不 喜欢,negative,
T MD 卖东西,negative,
T MD 气 人,negative,
tmd 神经病,negative,
T MD 时 什么 东西,negative,
T MD 挺萌,negative,
T MD 这么 流弊,negative,
T MD 真 尼玛 自恋 不要脸  ,negative,
TM 才 缺陷,negative,
TM 傻比,negative,
tm 完蛋,negative,
tm 也 无语,negative,
TX 嫉妒 脸 吧,negative,
♀ UYHU 因为 违规 已经 被 送走,negative,
u 虚伪 感染 病毒 看,negative,
v u 刚刚 完全 虚构 i 额度,negative,
v 悲剧 聚会,negative,
v 杀 鬼子,negative,
wipe 生气 后果 很 严重 哦,negative,
xiaoyang 好 猥琐,negative,
yfb 神经病,negative,
yoyo 笨蛋,negative,
阿 q 精神,negative,
啊啊啊 傻B,negative,
哎 无语 O __ O …,negative,
把  年 刷 qb 大神 踢,negative,
鄙视 Z,negative,
鄙视 说 不过 Moment 花不弃 就 发呆,negative,
别 T MD 骂人,negative,
别 装b ok,negative,
不乖 就 打 p,negative,
不好 用 xFF 格式 不 对,negative,
不会 跟 傻B 计较,negative,
不是 喜欢 beymax,negative,
不 喜欢 ly 吧,negative,
不 喜欢 小 灰灰 A,negative,
不要 对 俄 撒娇 不吃 zhetao,negative,
不 准备 喜欢 的话 v,negative,
唱歌 sb,negative,
抄袭 LOL,negative,
吃 毒素 xFF 泰民热 肚子  给,negative,
吃饭 v 废话,negative,
吹牛 b,negative,
打劫 堕落 ╮ de 爱,negative,
大 sb,negative,
大熊 A 梦 这 人 可 一点 都 不 幽默,negative,
大爷 怎么 乱 t 人,negative,
但是 任性 付 app 额度,negative,
对 you are a 笨蛋,negative,
莪 T MD 真 犯贱  群主 来,negative,
莪 T MD 真 犯贱  时间 再 过来 玩,negative,
额 ⊙ o ⊙ … 无语 O __ O …,negative,
分解 傻B,negative,
改  sb,negative,
改 吧 v 扯淡,negative,
干干净净 hii 就 不 吃饭 出发,negative,
个 sb,negative,
个 傻B,negative,
根本 v 喜欢 互相关心 勾搭 勾搭 好 大会 很大 很大 很,negative,
跟 M 分手,negative,
好 ikdsfjol 就 看不上,negative,
好 任性 ing,negative,
好 自恋 a,negative,
呼呼 CC 体验 A 号 偷偷 跑 出来 咯 嘻嘻,negative,
呼呼 Moment 花不弃 偷偷 跑 出来 咯 嘻嘻,negative,
呼呼 小贝 贝 V 偷偷 跑 出来 咯 嘻嘻,negative,
黄色 QQ,negative,
机器人 d sb,negative,
机器人 sb,negative,
机器人 才刚 睡觉 就 被 QQ 吵醒 别闹 太 草率,negative,
机器人 傻B,negative,
机器人 外星人 入侵 地球 快点 保护 boss 撤退,negative,
叫 LHG 那 sb,negative,
解释 sb,negative,
尽 TM 扯淡,negative,
精神病 v,negative,
就 看 傻B 叫,negative,
就是 sb,negative,
就是 这个 傻B,negative,
就是 这 傻B 人家 都 退群,negative,
就 因为 这 B 才 出来 脏话,negative,
觉得 sb,negative,
卡 bug 后果,negative,
看 就是 sb,negative,
看书 中 等 下 NND,negative,
靠 T MD 长得 太好 认了,negative,
靠 T MD 长得 太好 认了,negative,
懒得 这条 BB 狗 废话,negative,
劳资 tm 也 无语,negative,
老 i 笨蛋,negative,
两个 人 可以 当着 面 吵架 o,negative,
每个 人 都 够 虚伪 ～ o ～ Y,negative,
美玲 怎么 走 face gif 偷偷 走,negative,
萌 B  睡不着 难过 逼,negative,
萌宝 Yy  还 欺负,negative,
明明 大家 抄袭 都 dota,negative,
魔王 傻B,negative,
哪个 傻B 来 着,negative,
那个 bb 骗子,negative,
